問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"”法令で規定されているガス事業法の目的、用語の定義等に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
（イ）この法律は、ガス事業の運営を調整することによって、ガス事業者の利益を保護し、及びガス事業の健全な発達を図るとともに、ガス工作物の工事、維持及び運用並びにガス用品の製造及び販売を規制することによって、公共の安全を確保し、あわせて公害の防止を図ることを目的とする。

（ロ）「ガス事業」とは、ガス小売事業、一般ガス導管事業、特定ガス導管事業及びガス製造事業をいう。
 
（ハ）ガス小売事業を営もうとする者は、経済産業大臣の許可を受けなければならない。

（二）「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が35°C以下である液化ガスをいう。
 
（ホ）高圧ガス保安法中高圧ガスの製造又は販売の事業及び高圧ガスの製造又は販売のための施設に関する規定は、ガス事業及びガス工作物については、適用しない。”",イ、ロ,イ、ハ,ロ、ホ,ハ、ニ,ニ、ホ,,,,,イ、ハ
"""法令で規定されているガス小売事業者の業務等に関する次の記述のうち、正しいものはいくつあるか。

イ　ガス小売事業者は、正当な理由がある場合を除き、その小売供給の相手方の当該小売供給に係るガスの需要に応ずるために必要な供給能力を確保しなければならない。

ロ　ガス小売事業者は、小売供給を受けようとする者（ガス事業者である者を除く。）と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、その者に説明しなければならない。

ハ　ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを保存しなければならない。

二　ガス小売事業者は、経済産業省令で定めるところにより、 毎年度、当該年度以降経済産業省令で定める期間におけるガスの供給並びにガス工作物の設置及び運用についての計画を作成し、当該年度の開始前に（ガス小売事業者となった日を含む年度にあっては、ガス小売 事業者となった後遅滞なく）、経済産業大臣に届け出なければならない。

ホ　ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その量を記録し、これを保存しなければならない。"" ",1,2,3,4,5,,,,,5
法令で規定されているガス工作物に関する次の記述のうち、正しいものはどれか。,経済産業大臣は、公共の利益の確保のため緊急の必要があると認めるときは、ガス小売事 業者に対し、そのガス工作物を移転し、若しくはその使用を一時停止すべきことを命ずることができる。,ガス小売事業の用に供するガス工作物のうちガス小売事業者以外の者が所有し、又は占有するガス工作物についてガス小売事業者が、経済産業省令で定める技術上の基準に適合す るように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。,ガス小売事業者は、ガス工作物の工事、維持及び運用に関する保安を確保するため、経済 産業省令で定めるところにより、保安規程を定め、事業の開始前に経済産業大臣の許可を受けなければならない。,保安規程では、保安業務監督者が旅行、疾病その他事故によってその職務を行うことができない場合に、その職務を代行する者に関することを定めなければならない。,保安規程では、消費機器に関する周知、 調査等の実施の方法に関することを定めなければならない。,,,,,ガス小売事業の用に供するガス工作物のうちガス小売事業者以外の者が所有し、又は占有するガス工作物についてガス小売事業者が、経済産業省令で定める技術上の基準に適合す るように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。
"""次のガス事故のうち、ガス事故速報及びガス事故詳報を報告することが法令で規定されているものはいくつあるか。
ただし、台風、 高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く

イ　ガス工作物（ガス栓を除く。）を操作することにより人が負傷した事故

ロ　供給支障戸数が100の供給支障事故（保安閉栓を除く。）

ハ　製造支障時間が10時間の製造支障事故

二　消費機器の使用に伴い人が死亡した事故

ホ　ガス栓の欠陥によりガス栓から漏えいしたガスに引火することで発生した物損事故""",1,2,3,4,5,,,,,5
法令で規定されているガス主任技術者に関する次の記述のうち、正しいものはいくつあるか。,イ　ガス主任技術者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けている者であって、経済産業省令で定める実務の経験を有するもののうちから、ガス事業者が選任しなければならない。,ロ　ガス製造事業において、経済産業省令で定める実務の経験は、製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に通算して1年以上従事したこととする。,ハ　ガス製造事業者は、ガス主任技術者を解任するときは、事前にその旨を経済産業大臣に届け出なければならない。,二　ガス製造事業の用に供するガス工作物の工事、維持又は運用に従事する者は、ガス主任技術者がその保安のためにする指示に従わなければならない。,ホ　経済産業大臣は、ガス主任技術者がこの法律若しくはこの法律に基づく命令若しくはこれらに基づく処分に違反したときは、ガス事業者に対し、ガス主任技術者の解任を命ずることができる。,,,,,ハ　ガス製造事業者は、ガス主任技術者を解任するときは、事前にその旨を経済産業大臣に届け出なければならない。
法令で規定されている工事計画及び検査に関する次の記述のうち、誤っているものはどれか。,一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の設置又は変更の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業 大臣に届け出なければならない。ただし、ガス工作物が滅失し、若しくは損壊した場合叉 は災害その他非常の場合において、やむを得ない一時的な工事としてするときは、この限りでない。,一般ガス導管事業者は、経済産業省令で定める工事の計画を変更しようとするときは、 経済産業大臣に届け出なければならない。 ただし、その変更が経済産業省令で定める軽微 なものであるときは、この限りでない。 ,経済産業大臣は、工事の計画が経済産業省令で定める技術上の基準に適合していないと 認めるときは、一般ガス導管事業者に対し、その届出が提出された日から30日以内に限り、その工事の計画を変更し、又は廃止すべきことを命ずることができる。,一般ガス導管事業者は、 規定による届出をした設置又は変更の工事をするガス工作物で あって、経済産業省令で定めるものの工事について自主検査を行い、その結果が経済産業 大臣の登録を受けた者が行う検査に合格した後でなければ、これを使用してはならない。ただし、経済産業省令で定める場合は、この限りではない。,一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物であって経済産業省令で定めるものについては、経済産業省令で定めるところにより、定期に、自主検査を行い、その検査記録を作成し、これを保存しなければならない。,,,,,経済産業大臣は、工事の計画が経済産業省令で定める技術上の基準に適合していないと 認めるときは、一般ガス導管事業者に対し、その届出が提出された日から30日以内に限り、その工事の計画を変更し、又は廃止すべきことを命ずることができる。
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
イ　特定ガス発生設備に係る容器であって液化ガスを通ずるものは、その製造所の敷地境界から保安物件に対し告示で定める距離を有しなければならない。

ロ　製造所に設置するガス若しくは液化ガスを通するガス工作物には、そのガスの種類に応じて、適切な防消火設備を適切な箇所に設けなければならない。

ハ　製造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

二　製造所に設置するガス若しくは液化ガスを通ずるガス工作物の付近に設置する電気設備は、その設置場所の状況及びガスの種類に応じた防爆性能を有するものでなければならない。

ホ　液化ガスを通ずるガス工作物には、当該ガス工作物に生ずる静電気を除去する措置を講じなければならない。ただし、当該静電気によりガスに引火するおそれがない場合にあっては、この限りでない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""技術基準で「ガス又は液化ガスによる圧力を受ける部分を溶接する場合は、適切な機械 試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。」と規定されているガス工作物は、次のうちいくつあるか。

イ　容器であって、最高使用圧力が0.2MPa以上のガスを通ずるもの（内容積が0.04m以上又は内径が200mm以上で、長さが1000mm以上のものに限る。）

ロ　容器であって、液化ガスを通ずるもの（最高使用圧力をMPaで表した数値と内容積をm2で 表した数値との積が0.004以下のものを除く。）

ハ　内径が150mm以上の配管であって、最高使用圧力が中圧のガスを通ずるもの

二　内径が150mm以上の配管であって、液化ガスを通ずるもの

ホ　導管であって、最高使用圧力が高圧のガスを通ずるもの""",1,2,3,4,5,,,,,4
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,最高使用圧力が高圧のガス発生設備であって、過圧が生ずるおそれのあるものには、その圧力を逃すために適切な安全弁を設けなければならない。この場合において、当該安全弁は、作動時に安全弁から吹き出されるガスによる障害が生じないよう施設しなければならない。,ガスホルダーには、ガスを通する設備の損傷を防止するため使用の状態を計測又は確認できる適切な装置を設けなければならない。,ガスホルダーには、ガスを通する設備の損傷に至るおそれのある状態を検知し警報する適切な装置を設けなければならない。,製造設備を安全に停止させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。,ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、漏えいしたガスを速やかに回収することができる適切な装置を適切な箇所に設けなければならない。,,,,,ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、漏えいしたガスを速やかに回収することができる適切な装置を適切な箇所に設けなければならない。
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　製造設備（ガスホルダー、液化ガス用貯槽及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。

ロ　移動式ガス発生設備は、ガス又は液化ガス（不活性のものを除く。)が漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な 措置が講じられていなければならない。

ハ　容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を遮断するための装置を設けなければならない。

二　ガスの通ずる部分に直接液体又は気体を送入する装置を有する製造設備（移動式ガス発生 設備を含む。）は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

ホ　気化装置又はそれに接続される配管等には、気化装置からガスの流出を防止する措置を講じなければならない。 ただし、気化装置からのガスの流出を考慮した設計である場合は、この限りでない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
