問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""口径１０ｃｍ、延長２００ｍの低圧導管において、起点圧力と末端圧力との差が０.４KPaのときガス流量は１２０㎥/ｈであった。口径２０ｃｍ、延長４００ｍの低圧導管において、起点圧力と末端圧力との差が０.１KPaのときのガス流量（㎥/ｈ）として、最も近い値はどれか。なお、いずれも同一のガスをながすものとし、到底さは高低差は考慮しないものとする。""",120,240,260,340,480,,,,,240
整圧器に関する次の記述のうち、誤っているものはどれか。,アキシャルフロー式（軸流式）整圧器の二次圧力の設定は、パイロットスプリングで調整する。,パイロット式整圧器は、一次圧力と二次圧力の差圧が一定以上確保されない場合、作動できなくなる。,大規模地区整圧器として使用する場合には、オフセット及びロックアップが小さく、動特性の優れた整圧器を選定する。,ハウスレギュレーターは、一般に不純物除去装置と圧力上昇防止装置を一体化している。,整圧器を並列に設置している場合、予備整圧器を分解点検したときは、点検完了後に常用整圧器を停止し、予備整圧器が正常に作動することを確認する。,,,,,大規模地区整圧器として使用する場合には、オフセット及びロックアップが小さく、動特性の優れた整圧器を選定する。
"""次のガスメーターのうち、推量式に分類されるものはいくつあるか。

イ　渦流式ガスメーター

ロ　超音波式ガスメーター

ハ　膜式ガスメーター

二　オリフィス式ガスメーター

ホ　回転式ガスメーター""",1,2,3,4,5,,,,,3
"""内圧を受ける鋼管の管厚ｔ（ｍｍ）を求める場合のガス事業法の管厚計算式について（イ）～（ハ）にあてはまる語句等の組合せとして、適切なものはどれか。なお、この鋼管の外径と内径の比は１.５以下とする。

管厚ｔ(ｍｍ）＝（内圧(Mpa）×（イ）(ｍｍ） / （ロ）×（ハ）(N/㎟）×継手効率 ＋ ０.８ × 内圧(MPa））＋ 腐れしろ(ｍｍ）　""",（イ）導管の内径　（ロ）２　（ハ）許容引張応力,（イ）導管の内径　（ロ）４　（ハ）引張強さ,（イ）導管の内径　（ロ）２　（ハ）引張強さ,（イ）導管の外径　（ロ）４　（ハ）引張強さ,（イ）導管の外径　（ロ）２　（ハ）許容引張応力,,,,,（イ）導管の外径　（ロ）２　（ハ）許容引張応力
導管の腐食に関する次の記述のうち、誤っているものはどれか。,レール漏れ電流のよる電食は、電気鉄道のレールを流れる電流の一部が地中に流出することに起因して発生する腐食である。,他防食施設からの干渉による電食は、近接する埋設導管に他防食施設から防食電流の一部が流入し、流出部において発生する腐食である。,通気性の異なる土壌にまたがって埋設されている導管では、通気性の悪い部分をアノードとするマクロセルが形成され腐食が生じることがある。,コンクリート中と土壌中をまたがって埋設されている導管では、コンクリート部分をアノード、土壌部分をカソードとするマクロセルが形成される。,異なる２種の金属が土壌中で電気的に接続されると、各々の金属の自然電位の差によりマクロセルが形成されて、自然電位がマイナス側の金属が腐食する。,,,,,コンクリート中と土壌中をまたがって埋設されている導管では、コンクリート部分をアノード、土壌部分をカソードとするマクロセルが形成される。
"""導管の工事に関する次の記述のうち、誤っているものはいくつあるか。

イ　外径８０ｍｍ以上の低圧本支管を道路に埋設する際に、管の表面に２ｍの間隔で占用物件の名称、管理者、埋設年、ガスの圧力をテープで明示した。

ロ　屋内露出部の横引配管にフレキ管を使用し、３ｍごとに支持固定した。

ハ　漏えいしたガスが滞留するおそれのあるピット内に配管したので、点検口を設けた。

二　防火区画を貫通する内管を施工する際に、壁との隙間をモルタルで埋めた。

ホ　耐圧試験を最高使用圧力の１.５倍以上の圧力で、不活性ガスを用いて行った。""",1,2,3,4,5,,,,,1
導管の溶接欠陥に関する次の記述のうち、誤っているものはどれか。,ブローホールとは、溶接金属内に残留したガスのため空洞が生じた状態をいう。,融合不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,スラグ巻込みとは、開先の一部がそのまま残った状態をいう。,溶込み不良とは、開先の一部がそのまま残った状態をいう。,クレーターとは、表面における溶接金属と母材の境界の凹みをいう。,,,,,クレーターとは、表面における溶接金属と母材の境界の凹みをいう。
"""導管の維持管理に関する次の記述のうち、誤っているものはいくつあるか。

イ　半導体式ガス検知器は、半導体の電導度が雰囲気ガスの吸着によって変化することを利用したものである。

ロ　本支管への浸水による供給支障の際に、管内から採取された水が水道水か否かを判別するため、水道事業者に緊急調査を依頼した。

ハ　低圧導管の管体に腐食孔が発生したので、樹脂ライニング系工法による恒久修理を行った。

二　中圧導管の管体に発生した亀裂からの漏えいを修理するために、鋼製修理バンド工法を適用した。

ホ　需要家等からのガス漏えい等の通報に対する出動は、その内容に応じて一般出動、緊急出動及び特別出動に区分する。""",1,2,3,4,5,,,,,1
地震対策に関する次の記述のうち、誤っているものはどれか。,中・低圧導管の地盤変位吸収能力を実験により求める場合、配管系に漏えいが生じるときの地盤変位量を地盤変異吸収能力とする。,"特殊地形地区における中圧導管では、非裏波溶接鋼管の耐震性向上対策として、反転シール工法が適用できる。
",供給停止判断のため、SI値又は最大速度値の計測が可能な地震計を統合ブロックに１台以上設置する必要がある。,第１次緊急停止判断は、二次災害防止を最優先として、巡回点検等により経時的に得られる被害情報と緊急時対応能力等に応じて実施する。,供給継続地区の需要家等からのガス漏えい通報に対しては、供給停止地区に優先して迅速かつ適切に対応し、二次災害防止に必要な措置を講ずる。,,,,,第１次緊急停止判断は、二次災害防止を最優先として、巡回点検等により経時的に得られる被害情報と緊急時対応能力等に応じて実施する。
"A点からB点に低圧のガス100㎥/hを供給する導管AB（口径10cm、延長200m）がある。このとき、A点の圧力2.3kPa、B点の圧力2.1kPaであった。
新たにC点にガス400㎥/hを供給することとなり、導管AC（口径20cm、 延長400m）を新設した。A点の圧力2.3kPaのとき、C点の圧力（kPa）として最も近い値はどれか。なお、高低差は考慮しないものとする。",1.7,1.8,1.9,2,2.1,,,,,2.1
