問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
温度27°C、圧力100kPa、体積 25㎥のメタンの質量(kg)として最も近い値はどれか。ただし、メタンは理想気体とし、気体定数R=8.3J/(mol・K)とする。,1,11,16,176,187,,,,,16
真空にした容器にプロパン44g、窒素28gを入れたところ、全圧が300kPaの混合気体となった。プロパンの分圧(kPa)として最も近い値はどれか。,50,100,150,200,250,,,,,150
外気圧100kPaとつり合っているシリンダ内の気体0.5㎥に熱を加え、定圧膨張させた。このときに気体がした仕事は150kJであった。膨張後の気体の体積(㎥)として最も近い値はどれか。,0.6,1,1.5,2,3,,,,,2
容積一定の断熱容器に入れた温度300Kの空気に、10.5kJの熱を加えると、空気の温度は330Kとなった。 このときの空気の質量(kg)として最も近い値はどれか。ただし、空気の定積比熱容量はC=0.7kJ/(kg・K)とする。,0.5,2,2.5,4.5,6,,,,,0.5
化学反応及び電気化学反応に関する次の記述のうち、誤っているものはどれか。,体積及び温度一定条件の下で化学反応が起こったとき、生成系の内部エネルギーのほうが反応系の内部エネルギーよりも低い場合、発熱反応になる。,温度一定条件で、化学反応に伴い発生する、若しくは吸収される熱のことを反応熱という。,化学反応における触媒の役割は、反応熱を大きくすることである。,電気化学反応の特徴は、化学反応を電子の授受を介して行わせることである。,燃料電池の電極間電位差は、取り出す電流を増加させる場合に小さくなる。,,,,,化学反応における触媒の役割は、反応熱を大きくすることである。
CO(g)　+　 H₂O (g)　=　CO₂(g)　+　H₂(g)　-　Q　は右方向へは発熱反応である。この反応の平衡に関する次の記述のうち、誤っているものはどれか。ただし、Qは反応熱である。,CO₂ の分圧を増加させると左方向へ反応が進む。,圧力を上げると左方向へ反応が進む。,温度を下げると右方向へ反応が進む。,水蒸気(H₂O)を増加させると右方向へ反応が進む。,この反応において、触媒は化学平衡状態に影響を与えない。,,,,,圧力を上げると左方向へ反応が進む。
メタン1㎥と水素2㎥の混合ガスを完全燃焼させるのに必要な最低空気量(㎥)として最も近い値はどれか。ただし、混合ガスは標準状態(0℃、101325Pa)とし、空気中の窒素と酸素の体積比は4:1とする。,15,20,25,30,50,,,,,15
メタン79vol%、プロパン21vol%の混合ガスの空気中における燃焼下限界(vol%)として最も近い値はどれか。ただし、単体ガスの燃焼下限界は、メタン5.0vol%、プロパン2.1vol%とする。,2.1,2.9,3.5,3.9,4.4,,,,,3.9
可燃性ガスに関する次の記述のうち、誤っているものはどれか。,空気や酸素等と混合した状態で着火すると爆発を起こすことがある。,温度を低くすると、燃焼範囲は広くなる。,爆燃や爆ごうは、空気や酸素と混合する濃度範囲により起こらない場合がある。,爆発は、伝播速度が亜音速の爆燃と、超音速の爆ごうに分類される。,爆ごうは、衝撃波を伴うため、衝突した物体に機械的破壊作用を与える。,,,,,温度を低くすると、燃焼範囲は広くなる。
内径100mmの直円管内を流体が質量流量6kg/sで流れているときの平均流速(m/s)として最も近い値はどれか。ただし、流体の密度は400kg/㎥とする,0.2,0.5,1,1.5,2,,,,,2
管内の流れに関する次の記述のうち、誤っているものはどれか。,流体の粘性は、圧力損失の原因となる。,内径が縮小する部分では、圧力損失が大きく生じる。,オリフィスメーターを用いると、配管内の平均流速を測定することができる。,ピトー管を用いると、配管内のある1点の流速を測定することができる。,急拡大管(ディフューザ)の機能は、下流で圧力を急激に低下させるものである。,,,,,急拡大管(ディフューザ)の機能は、下流で圧力を急激に低下させるものである。
平均熱伝導率0.2W/(m・K)で厚さ0.1mの平板壁の高温側表面温度が300℃、低温側表面温度が50℃であった。このとき平板壁を通過する熱流束 (W/㎡)として最も近い値はどれか。,125,150,250,500,600,,,,,500
熱交換器において高温流体の入口温度が300℃で出口温度が150℃であった。低温流体の入口温度は50℃であった。このときの高温流体の温度効率(%)として最も近い値はどれか。,25,40,50,60,83,,,,,60
材料の力学的性質に関する次の記述のうち、誤っているものはどれか。,応力にともなって生ずる変形量の変形前長さに対する割合をひずみという。,比例限度以下の応力では、材料のひずみは応力の大きさに比例する。,薄肉円筒の内圧 (円筒外部との圧力差)による円周応力は、軸応力の2倍である。,安全係数(安全率)が大きいほど、安全に対し余裕がある設計となっている。,外力を取り去ると元に戻る変形を塑性変形という。,,,,,外力を取り去ると元に戻る変形を塑性変形という。
高分子材料の一般的な性質に関する次の記述のうち、誤っているものはどれか。,紫外線を吸収すると、分解することがある。,クリープは、常温では発生しない。,金属材料に比べて、比重が小さい。,金属材料に比べて、熱伝導率が小さい。,応力ひずみ線図では、軟鋼のような明瞭な降伏点が見られない場合がある。,,,,,クリープは、常温では発生しない。
気体の性質に関する次の記述のうち、誤っているものはどれか。,実在気体ｈ、低温の条件では、理想気体に近い性質を示す。,相変化に伴い吸収又は放出される熱を、潜熱という。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化させることはできない。,気体の粘土は、温度の上昇とともに増加する。,気体の粘土は、圧力によってほとんど変わらない。,,,,,実在気体ｈ、低温の条件では、理想気体に近い性質を示す。
温度２７℃、圧力５０KPaのメタンがはいっている容積４００㎥の容器Aと温度２７℃、圧力２０KPaのプロパンが入っている容積２００㎥の容器Bを接続した場合の混合気体全体の圧力（Kpa）として、最も近い値はどれか。ただし、いずれの気体も理想気体とし、容器AとBの接続語の混合気体の温度は２７℃と一定で、接続管の容積は無視できるものとする。,30,35,40,55,70,,,,,40
温度３００K、圧力１００KPaの気体１㎥を低圧膨張させて２㎥にした。このとき、気体がした仕事（KJ）として、最も近い値はどれか。,100,200,300,400,600,,,,,100
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,熱も仕事もエネルギーの一形態である。,等温、定圧で2種の理想気体を混合すると、エントロピーは減少する。,逆カルノーサイクルを用いたヒートポンプの成績係数（COP)は必ず1以上となる。,熱力学の第二法則によれば、熱は自然には低温度の物体から高温度の物体へうつることはできない。,理想気体を可逆的に断熱膨張させた場合、内部エネルギーは減少する。,,,,,等温、定圧で2種の理想気体を混合すると、エントロピーは減少する。
カルノーサイクルにおいて、高温熱源（７５０K)から熱Q1を吸収し、低温熱源（３００K)に熱Q2を放出する場合、放熱量と吸熱量の比（Q2/Q1)として、最も近い値はどれか。,0.1,0.4,1,2.5,7.5,,,,,0.4
化学反応と化学平衡に関する次の記述のうち、誤っているものはどれか。,一次反応において、反応物質の濃度が半分に減少するのに要する時間は、反応のどの時点から測っても同じである。,化学平衡とは、可逆反応において、順方向と逆方向の反応速度が等しくなった状態をいう。,ある反応温度で発熱反応を平衡状態になるまで進行させたのちに、反応温度を上げると、反応はさらに進行して、新たな平衡状態に達する。,ある反応の標準自由エネルギー変化がわかれば、平衡定数を計算により求めることができる。,水を電気分解すれば、水素と酸素を発生することができる。,,,,,ある反応温度で発熱反応を平衡状態になるまで進行させたのちに、反応温度を上げると、反応はさらに進行して、新たな平衡状態に達する。
