"""法令で規定されているガス事業法の目的に関する次の記述について、(イ)〜(ホ)の語句のうち、正しいものはいくつあるか 
この法律は、「(イ)国の関与を最小限に」することによって、「(ロ)ガス事業者の自主保安体制を確立」し、及びガス事業の健全な発達を図るとともに、「(ハ) ガス主任技術者」並びに「(ニ)保安規程」によって、公共の安全を確保し、あわせて「(ホ)公害の防止」を図ることを目的とする。""",1,2,3,4,5,,,,,1,メタン79vol%、プロパン21vol%の混合ガスの空気中における燃焼下限界(vol%)として最も近い値はどれか。ただし、単体ガスの燃焼下限界は、メタン5.0vol%、プロパン2.1vol%とする。,2.1,2.9,3.5,3.9,4.4,,,,,3.9,"""[都市ガス工業概要 (基礎理論編) P120 5.3.2 混合ガスの燃焼範囲]
ル・シャトリエの式より""
[img:/static/explain/oR2k8.jpg]"
法令で規定されているガス小売事業者が行う供給条件の説明、熱量等の測定、及び成分の検査に関する次の記述のうち、誤っているものはどれか。,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを保存しなければならない。,特定ガス発生設備に係る場合にあっては、供給するガスの燃焼性を測定することを要しない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その量を記録し、これを保存しなければならない。,天然ガスを主成分とするガスにあっては、硫黄全量、硫化水素及びアンモニアの成分検査を要しない。,,,,,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。,"""(正)当該小売供給に係る料金その他の供給条件について、その者に説明しなければならない。""",,,,,,,,,,,
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されている事故に、いずれも該当しないものの組合せはどれか。
ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。

イ　ガス工作物(ガス栓を除く。)の損傷により人が負傷した事故

口　製造支障事故であって、製造支障時間が6時間のもの

ハ　供給支障事故であって、供給支障戸数が500のもの

二　最高使用圧力が低圧の主要なガス工作物(ガス栓を除く。)の損壊事故

ホ　ガス栓の損壊によりガス栓から漏えいしたガスに引火することにより、発生した負傷事故""",イ、ロ,イ、ハ,ロ、ニ,ハ、ホ,ニ、ホ,,,,,ロ、ニ,"""(正)製造支障事故であって、製造支障時間が10時間以上24時間未満のもの
(正)最高使用圧力が高圧又は中圧の主要なガス工作物の損壊事故""",,,,,,,,,,,
"""法令で規定されているガス主任技術者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガス工作物の設置の工事であって、経済産業省令で定める工事に従事する者は、ガス主任技術者でなければならない。

ロ　一般ガス導管事業者は、ガス主任技術者を選任するときは、事前にその旨を経済産業大臣に届け出なければならない。これを解任するときも、同様とする。

ハ　ガス主任技術者試験は、ガス工作物の工事、維持及び運用に関する保安に関して必要な知識及び技能について行う。

ニ　ガス主任技術者は、誠実にその職務を行わなければならない。

ホ　経済産業大臣は、ガス主任技術者がこの法律に違反したときは、一般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。""",イ、ロ,イ、ニ,口、ハ,ハ、ホ,二、ホ,,,,,イ、ロ,"""(正) ガス工作物の設置の工事であって、経済産業省令で定める工事に従事する者は、ガス主任技術者がその保安のためにする指示に従わなければな らない。
(正) 一般ガス導管事業者は、 ガス主任技術者を選任したときは、遅滞なく、その旨を経済産業大臣に届け出なければならない。 これを解任したときも、同様とする。""",,,,,,,,,,,
"""法令で規定されている工事計画及び使用前検査に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

ガス製造事業者は、ガス製造事業の用に供するガス工作物の設置又は　（イ）　の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業大臣に届け出なければならない。
ガス製造事業者は、経済産業省令で定めるものの工事について自主検査を行い、その結果について　（ロ）　が行う検査を受け、これに合格した後でなければ、これを使用してはならない。ただし、ガス工作物を　（ハ）　に使用する場合(そのガス工作物に係るガスを使用者に供給する場合にあっては、当該ガス工作物の使用の方法を変更するごとにガスの　（二）　を測定して供給する場合に限る。)は、この限りでない。
ガス製造事業者は、経済産業省令で定めるところにより、自主検査の記録を作成し、これを　（ホ）　年間保存しなければならない。""",（イ）改造　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）３,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５,（イ）変更　　（ロ）経済産業大臣　　（ハ）緊急時　　（二）熱量等　　（ホ）３,（イ）変更　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）５,（イ）改造　　（ロ）登録ガス工作物検査機関　　（ハ）緊急時　　（二）熱量等　　（ホ）３,,,,,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５,,,,,,,,,,,,
"""ガス工作物及び保安物件に関する次の記述のうち、いずれも技術基準で規定されているものの組合せはどれか。ただし、ガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。

（イ）　ガス発生器及び増熱器は、その製造所の敷地境界から保安物件に対し告示で定める距離を有しなければならない。

（ロ）　劇場、映画館、演芸場、公会堂その他これらに類する施設であって、収容定員300人以上のもの(事業場の存する敷地と同一敷地内にあるものを除く。)は、第1種保安物件に該当する。

（ハ）　ガスの種類、ガス工作物の状況、周囲の状況等の理由によりあらかじめ経済産業大臣に届け出た場合は、告示で定める距離を有しないでガス工作物を施設することができる。

（二）　製造所には、液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

（ホ）　ガス発生設備及び附帯設備であって製造設備に属するものの液化ガスを通ずる部分は、液化ガスを廃棄できる構造でなければならない。""",イ、ハ,イ、ホ,ロ、ハ,口、二,二、ホ,,,,,口、二,"""（正）ガス発生設備及び増熱器は、その外面から保安物件に対し告示で定める距離を有しなければならない。
（正）ガスの種類、ガス工作物の状況、周囲の状況等の理由により経済産業大臣の認可を受けた場合は、告示で定める距離を有しないでガス工作物を施設することができる。
（正）ガス発生設備及び附帯設備であって製造設備に属するものの液化ガスを通ずる部分は、液化ガスを安全に置換できる構造でなければならない。""",,,,,,,,,,,
"""技術基準で「ガス工作物のうち、耐圧部分及び液化ガスを通ずる部分は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。」と規定されている。次のガス工作物のうち、耐圧試験が不要なものはいくつあるか。

イ　液化ガス用ポンプ

ロ　昇圧供給装置

ハ　整圧器

ニ　溶接により接合された海底に設置される導管であって、非破壊試験を行ったときこれに合格したもの

ホ　最高使用圧力が中圧の導管であってそれらの継手部と同一材料、同一寸法及び同一施工方法で接合された試験のための管について、適切な機械試験により確認されたもの""",1,2,3,4,5,,,,,3,"""（正）溶接により接合された導管（前項第七号に挙げるもの（七　海底に設置される導管）を除く。）であって、非破壊試験を行ったときこれに合格したもの
（正）最高使用圧力が中圧の導管であってそれらの継手部と同一材料、同一寸法及び同一施工方法で接合された試験のための管について最高使用圧力の1.5倍以上の圧力で試験を行ったときこれに耐えるもの""",,,,,,,,,,,
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,製造設備を安全に停止させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。,移動式ガス発生設備には、設備の損傷を防止するため使用の状態を計測又は確認できる適切な措置が講じられていなければならない。,製造所に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。,特定事業所に設置する液化ガスを通ずるガス工作物に係る計装回路には、当該設備の態様に応じ、保安上重要な箇所に、適切なインターロック機構を設けなければならない。,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。,,,,,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。,"""（正）ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を抜く装置を設けなければならない。""",,,,,,,,,,,
"”技術基準で規定されているガス発生設備に関する次の記述のうち、誤っているものはいくつあるか。

・最高使用圧力が低圧の移動式ガス発生設備であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。

・移動式ガス発生設備は、ガスが漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な措置が講じられていなければならない。

・ガスの通ずる部分に直接液体を送入する装置を有する製造設備 (移動式ガス発生設備を含む。)は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

・気化装置又はそれに接続される配管等には、気化装置から液化ガスの流出を防止する措置を講じなければならない。ただし、気化装置からの液化ガスの流出を考慮した設計である場合は、この限りでない。

・容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を速やかに停止するための装置を設けなければならない。”",1,2,3,4,5,,,,,2,"""（正）ガス発生設備（最高使用圧力が低圧のものに限り、移動式ガス発生設備を除く。）であって過圧が生ずるおそれのあるものには、...
（正）・・・、自家発電機その他の操作用電源が停止した際にガスの供給を維持するための装置を設けなければならない。""",,,,,,,,,,,
"""技術基準で規定されている導管及びガスメーターに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　導管には、設置された状況により腐食を生ずるおそれがある場合にあっては、当該導管の腐食を防止するための適切な措置を講じなければならない。

（ロ）　導管(最高使用圧力が低圧の導管であって、内径が100mm未満のものを除く。)であって、道路の路面に露出しているものは、車両の接触その他の衝撃による振動を軽減するための措置を講じなければならない。

（ハ）　道路に埋設される本支管(最高使用圧力が5kPa以上のポリエチレン管に限る。)には、掘削等による損傷を防止するための適切な措置を講じなければならない。

（二）　ガスの使用場所である地下室等にガスを供給する導管には、その地下室等の付近の適切な場所に、危急の場合に当該地下室等へのガスの供給を地上から速やかに遮断することができる適切な装置を設けなければならない。

（ホ）　ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時16m2以下、使用最大圧力が4kPa以下及び口径250mm以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、長時間にわたるガスの継続使用又は異常なガス圧力の低下を検知した場合に、ガスを速やかに遮断する機能を 有するものでなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ロ、ホ,"""（正）・・・、車両の接触その他の衝撃により損傷のおそれのある部分に衝撃による損傷を防止するための措置を講じなければならない。
（正）・・・、災害の発生のおそれのある大きさの地震動、過大なガスの流量又は異常なガス圧力の低下を検知した場合に、・・・""",,,,,,,,,,,
"""技術基準で規定されている導管の漏えい検査に関する次の記述のうち、漏えい検査の対象 から除外されているものはいくつあるか。ただし、導管は、道路に埋設されている導管からガス栓までに設置されており、特定地下室等にガスを供給する導管とする。
（イ）　適切な漏えい検知装置が適切な方法により設置されている場合(当該装置が漏えいを検知することができる部分に限る。)

（ロ）　導管が設置されている場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができない場合

（ハ）　屋外において、埋設されていない部分がある場合(当該埋設されていない部分に限る。 

（ニ）　ポリエチレン管を使用している場合(当該使用している部分に限る。)

（ホ）　導管に絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分""",1,2,3,4,5,,,,,4,"""（正）埋設の日以後1年に1回以上の頻度で、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。（除外規定なし）""",,,,,,,,,,,
