問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
法令で規定されている用語の定義及び事業の届出等に関する次の記述のうち、誤っているものはどれか。,「ガス事業」とは、ガス小売事業、一般ガス導管事業、特定ガス導管事業及びガス製造事業をいう。,ガス小売事業を営もうとする者は、経済産業大臣の許可を受けなければならない。,「小売供給」とは、一般の需要に応じ導管によりガスを供給すること（特定ガス発生設備においてガスを発生させ、導管によりこれを供給するものにあっては、一の団地内におけるガスの供給地点が70以上のものに限る。）をいう。,１２A及び１３Aのガスグループ以外のガスグループに属するガスを供給する導管を用いて託送供給を行う事業は、一般ガス導管事業に該当しない。,「ガス製造事業」とは、自らが維持し、及び運用する液化ガス貯蔵設備等を用いてガスを製造する事業であって、その事業の用に供する液化ガス貯蔵設備が経済産業省令で定める要件に該当するものをいう。,,,,,ガス小売事業を営もうとする者は、経済産業大臣の許可を受けなければならない。
"""法令で規定されているガス小売事業者及び一般ガス導管事業者の業務に関する次の記述のうち、誤っているものはいくつあるか。

イ　ガス小売事業者は、正当な理由がある場合を除き、その小売供給の相手方の当該小売供給に係るガスの需要に応ずるために必要な供給能力を確保しなければなれない。
　
ロ　ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。
　
ハ　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、経済産業省令で定めるところにより、託送供給約款を定め、経済産業大臣に届け出なければならない。
　
二　一般ガス導管事業者は最終保障に係る料金その他の供給条件について約款を定め、経済産業省令で定めるところにより、掲載産業大臣に届けなければならない。　

ホ　一般ガス導管事業者は、経済産業省令で定めるところにより、毎年度、当該年度以降経済産業省令で定める機関における供給計画を作成し、当該年度の開始前に（一般ガス導管事業者となった日を含む年度にあっては、一般ガス導管事業者となった後遅滞なく）、経済産業大臣の許可を受けなければならない。""",1,2,3,4,5,,,,,3
法令で規定されている用語の定義及び事業の届出等に関する次の記述のうち、正しいものはどれか。,経済産業大臣は、一般ガス導管事業の用に供するガス工作物が経済産業省令で定める技術上の基準に適合していないと認めるときは、ガス主任技術者に対し、その技術上の基準に適合するようにガス工作物を修理し、改造し、若しくは移転し、若しくはその使用を一時停止すべきことを命じ、又はその使用を制限することができる。,一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安を確保するため、経済産業省令で定めるところにより、保安規程を定め、遅滞なく、経済産業大臣に届けなければならない。,経済産業大臣は、公共の利益の増進を図るため必要があると認めるときは、一般ガス導管事業者に対し、保安規程を変更すべきことを命ずることができる。,保安規程には、消費機器に関する周知及び調査の方法に関することを定めなければならない。,一般ガス導管事業の用に供するガス工作物のうち一般ガス導管事業者以外の者が所有し、又は占有するガス工作物について一般ガス導管事業者が経済産業省令で定める技術上の基準に適合するように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。,,,,,一般ガス導管事業の用に供するガス工作物のうち一般ガス導管事業者以外の者が所有し、又は占有するガス工作物について一般ガス導管事業者が経済産業省令で定める技術上の基準に適合するように維持するため必要な措置を講じようとするときは、当該ガス工作物の所有者又は占有者はその措置の実施に協力するよう努めなければならない。
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されていないものの組合せはどれか。ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものではない。

イ　ガス工作物(ガス栓を除く。)を操作することにより人が酸素欠乏症となった事故

ロ　ガスの供給に支障を及ぼした事故であって、供給支障戸数が20のもの

ハ　ガスの製造に支障を及ぼした事故であって、製造支障時間が10時間のもの

二　ガス工作物(ガス栓を除く。）からのガスの漏えいによる火災事故

ホ　消費機器から漏えいしたガスに引火することにより、発生した消費機器が損傷した物損事故であって、人が死亡せず、又は負傷しないもの""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ロ、ホ
法令で規定されているガス主任技術者に関する次の記述のうち、正しいものはどれか。,ガス小売事業者は、経済産業省令で定めることにより、ガス主任技術者免状の交付を受けている者、又は経済産業省令で定める実務の経験を有するもののいずれかのうちから、ガス主任技術者を選任し、ガス小売事業のように供するガス工作物の工事、維持及び運用に関する保安の監督をさせなければならない。,ガス小売事業者は、ガス主任技術者を選任しようとするときは、あらかじめ、その旨を経済産業大臣に届け出なければならない。これを解任するときも、同様とする。,ガス主任技術者免状はガス主任技術者試験に合格した者、又はその者と同等以上の知識及び機能を有しているとガス事業者が認定した者に交付される。,経済産業大臣は、ガス事業法に違反し、罰金以上の刑に処せられ、その執行を終わり、又は執行を受けることがなくなった日から1年を経過しない者に対しては、ガス主任技術者免状の交付を行わないことができる。,経済産業大臣は、ガス主任技術者免状の交付を受けている者がガス事業法若しくはガス事業法に基づく命令又はこれらに基づく処分に違反したときは、そのガス主任技術者免状の返納を命ずることができる。,,,,,経済産業大臣は、ガス主任技術者免状の交付を受けている者がガス事業法若しくはガス事業法に基づく命令又はこれらに基づく処分に違反したときは、そのガス主任技術者免状の返納を命ずることができる。
"""法令で規定されている工事計画及び使用前検査に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の　(イ)　の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業大臣に届けなければならない。

　工事計画の届出をした者は、その届出が　(ロ)　された日から　(ハ)　日を経過した後でなければ、その届出に係る工事を開始してはならない。ただし、経済産業大臣が認めるときは、工事を開始するまでの期間を短縮することができる。
　一般ガス導管事業者は、工事計画の届出をいした工事を行うガス工作物であって、経済産業省令で定める物の工事について　(二)　を行わなければならない。

　経済産業省令で定める使用前検査の対象のガス工作物であっても、(ホ)　のために使用する場合は、使用前検査なしでそのガス工作物を使用することができる。""",(イ)　設置　(ロ）受理　(ハ)　30　(二)　自主検査　(ホ)　緊急　,(イ)　設置又は変更　(ロ）受理　(ハ)　10　(二)　完成検査　(ホ)　緊急　,(イ)　設置又は変更　(ロ）受理　(ハ)　30　(二)　自主検査　(ホ)　試験　,(イ)　設置　(ロ）提出　(ハ)　10　(二)　自主検査　(ホ)　試験　,(イ)　設置又は変更　(ロ）提出　(ハ)　30　(二)　完成検査　(ホ)　緊急　,,,,,(イ)　設置又は変更　(ロ）受理　(ハ)　30　(二)　自主検査　(ホ)　試験　
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。

イ　製造所（特定製造所を除く）、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。

ロ　製造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適切な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

ハ　液化ガス用貯槽(不活性の液化ガス用のもの、貯蔵能力が３ｔ未満のもの及び地盤面下に全部埋設されたものを除く。）の相互間は、ガス又は液化ガスが漏えいした場合の災害の発生を防止するために、保安上必要な距離を有しなければならない。

二　製造所若しくは供給所に設置するガス若しくは液化ガスを通ずるガス工作物又は大容量移動式ガス発生設備には、その規模に応じて、適切な防消火設備を適切な箇所に設けなければならない。

ホ　ガス又は液化ガスを通ずるガス工作物を設置する室（製造所及び供給所に存するものに限る。）は、これらのガス又は液化ガスが漏えいしたとき滞留しない構造でなければならない。""",1,2,3,4,5,,,,,5
"""技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはいくつあるか。

イ　ガス栓の主要材料は、最高使用温度及び最低使用温度において材料に及ぼす化学的及び物理的影響に対し、設備の種類、規模に応じて安全な機械的性質を有するものでなければならない。

ロ　付帯設備であって製造設備に属する容器及び管のうち、液化ガスを通ずるものであって内面に０Paを超える圧力を受ける部分の構造は、供用中の荷重並びに最高使用温度及び最低使用温度における最高使用圧力に対し、設備の種類、規模に応じて適切な構造でなければならない。

ハ　整圧器及び特定ガス発生設備に関する調整装置の耐圧部分は適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。

二　ガス工作物のガス又は液化ガスを通ずる部分であって、内面に０Paを超える圧力を受ける部分の溶接された部分は、溶込みが十分で、溶接による割れ等で有害な欠陥がなく、かつ、設計上要求される強度以上の強度でなければならない。

ホ　最高使用圧力が0.3MPa以上で、内径が150mm以上の中圧の導管であって、ガスによる圧力を受ける部分を溶接する場合は、適切な機械試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。""",1,2,3,4,5,,,,,1
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　液化ガスを通ずるガス発生設備のうち、過圧が生ずるおそれのあるものには、その圧力を逃すために適切なインターロック機構を設けなければならない。

ロ　製造設備(特定ガス発生設備を除く。）の運転を継続させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。

ハ　ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を抜く装置を設けなければならない。

二　液化ガス用貯槽(不活性の液化ガス用のものを除く。）又はこれらの付近には、その外部から見やすいようにガス小売事業者の名称及び連絡先の表示をしなければならない。

ホ　液化ガス用貯槽(不活性の液化ガス用のものを除く。）の防液堤の外面から防災作業のために必要な距離の内側には、液化ガスの漏えい又は火災等の拡大を防止する上で支障のない設備以外の設備を設置してはならない。""",イ、ロ,イ、二,ロ、ハ,ハ、ホ,二、ホ,,,,,ハ、ホ
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはどれか。

（１）製造設備(ガスホルダー、液化ガス用貯槽、及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。

（２）移動式ガス発生設備には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスを処理することができる装置を設けなければならない。

（３）移動式ガス発生設備は、ガス又は液化ガス（不活性のものを除く。）が漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に腐食又は転倒しないように適切な措置が講じられていなければならない。

（４）移動式ガス発生設備の容器又は容器の設置場所には、容器内の圧力が異常に低下しないよう適切な温度に維持できる適切な措置を講じなければならない。

（５）容器に付属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を遮断するための装置を設けなければならない。""",（１）製造設備(ガスホルダー、液化ガス用貯槽、及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。,（２）移動式ガス発生設備には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスを処理することができる装置を設けなければならない。,（３）移動式ガス発生設備は、ガス又は液化ガス（不活性のものを除く。）が漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に腐食又は転倒しないように適切な措置が講じられていなければならない。,（４）移動式ガス発生設備の容器又は容器の設置場所には、容器内の圧力が異常に低下しないよう適切な温度に維持できる適切な措置を講じなければならない。,（５）容器に付属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を遮断するための装置を設けなければならない。,,,,,（１）製造設備(ガスホルダー、液化ガス用貯槽、及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。
