問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
ガスの燃焼及び伝熱に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼方式は、赤火燃焼式やブンゼン燃焼式等があり、ガスと空気が混合する場所や一次空気量によって大別される。,実際のガス機器では、理論空気量だけでガスを完全燃焼させることはできず、２０～４０％の過剰空気が必要である。,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。,ブンゼン燃焼式の外炎では、内炎で発生した中間生成物が二次空気と接触することによって反応が進む。,伝熱の一形態である対流は、流体の運動により熱が移動する現象である。,,,,,濃淡燃焼バーナーは、ブンゼン式バーナーとセミブンゼン式バーナーを交互に配置した構造となっている。
ガスの燃焼に関する次の記述のうち、誤っているのはどれか。,ブンゼンバーナーでは、インプットの高い範囲で燃焼させて場合、一次空気量を上げるとリフティングが発生し、下げると不完全燃焼が発生するという燃焼特性を有する。,火移り不良は、一部の炎口のつまり等で炎口と炎口の間隔が開きすぎている時にも発生する場合がある。,イエローチップの炎でガス機器を使用していると、すすが熱交換器等に付着して不完全燃焼の原因となるおそれがある。,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。,ブンゼンバーナーでは、バーナー部分が高温になりそこを通る混合ガスの温度が極端に上昇すると、フラッシュバックが発生する場合がある。,,,,,ブンゼンバーナーでは、ガスの組成変化によりウォッベ指数が小さくなると、不完全燃焼が発生するおそれがある。
"""家庭用ガス温水機器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　自己診断機能には、給排気通路の閉そく状態ではファンの風量が少なくなり、ファンモーターに流れる電流値が小さくなる特徴を利用する方法がある。

ロ　燃焼用の空気を屋内からとり、燃焼排ガスを排気筒で屋外に排出する方式のふろがまをBF式ふろがまという。

ハ　Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。

二　元止め式瞬間湯沸器は、湯を使用する場所に取り付けられ、湯沸器の出湯管から直接湯を使う機能である。

ホ　給湯能力が２０号の瞬間湯沸器では、１０℃から４０℃に昇温させたお湯を毎分２０L供給できる。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ロ、ホ
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろに装備される中火点火機能は、点火時の着衣着火火災を防止するためのものである。,オーブンは、庫内温度が調整でき、高温（２５０℃～３００℃）の熱風を循環させて、短時間に多量の調理ができる。,ファンヒーターは、転倒したり強い衝撃が加わったとき、ガスを遮断し火災を防止する転倒時安全装置を搭載している。,FF式暖房機の排気筒外れ検知装置には、微小電流導通検知の方法が用いられている。,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。,,,,,回転式ドラム乾燥機は、乾燥センサーに接触した衣類の温度を測定して、湿り具合を判断している。
業務用ガス機器及びコージェネレーションシステム（CGS)に関する次の記述のうち、誤っているものはどれか。,業務用厨房に設置される排気ダクト接続型の半密閉式瞬間湯沸器には、一般的に排気温度センサー、排気あふれセンサー及びCOセンサーが搭載されている。,パルス燃焼式フライヤーは浸管式の一種で、ガスの燃焼にパルス燃焼を採用しており、熱交交換器部分の面積を大幅に小さくすることができる。,遠赤外線暖房に利用される遠赤外線は、途中の空気を暖めることなく直接身体や床、壁等に浸透し暖める性質を持っている。,都市ガスを用いる代表的なCGSには、ガスエンジン式、ガスタービン式及び燃料電池式がある。,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。,,,,,固体高分子形燃料電池（PEFC)は、作動温度が約７００℃と高く、起動や停止に対する耐久性が低いため、原則として連続運転になる。
換気及び一酸化炭素（CO)に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力をりようしたものとがある。,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。,高層住宅等では、外風圧の影響により換気風量が大きく変動するため、シロッコファン等の高静圧な換気扇を使う必要がある。,自然換気回数は、一般的に次式で表される。　N=Q/V 　n:自然換気回数(回/h)   Q:自然換気量(㎥/h)   V:室の容積(㎥),都市ガスの燃焼に必要な酸素の不足等により、燃焼反応が集結しないと、反応途中の物質としてCOが発生する。,,,,,ガスこんろ上部の排気フードは、こんろ上面から１０００ｍｍ以上に設置されなければならない。
ガス機器の給排気に関する次の記述のうち、誤っているものはどれか。,合計インプットが６KWを超える開放型ガス機器を調理室以外の部屋に設置する場合、その部屋には機械換気を設ける必要がある。,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。,BF-W式機器の設置に際しては、給排気部が壁を貫通する箇所に隙間があってはならない。,FF式機器には、BF式機器と同様、外壁式、チャンバー式及びダクト式がある。,既存のBF式機器の給排気筒トップ穴を利用して、壁貫通部に設置するタイプのRF式機器がある。,,,,,CF式機器を設置する際、現場状況に合わせて一次排気筒及び二次排気筒ともに適切な長さに現場で加工調整する必要がある。
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,調理油過熱防止装置は、現在販売されている２口以上の家庭用こんろの全口に搭載することが義務化されている。,不完全燃焼防止装置に使用されているCOセンサーには、固体電解質式、接触燃焼式及び半導体器がある。,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,比例電磁弁は、コイルに流れる電流による電磁力により弁を制御し、連続的にガス量を調節するものである。,,,,,温水機器の空だき安全装置には、水位スイッチ式や水流スイッチ式等がある。
ガス栓、接続具及び警報器に関する次の記述のうち、誤っているものはどれか。,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。,ヒューズガス栓のヒューズボールがガスを遮断する流量を、ヒューズ作動流量といい、ヒューズガス栓本体に表示されている。,ガス小型湯沸器は、強化ｶﾞｽホースで可とう管ガス栓と接続できる。,空気より軽い都市ガスを検知するガス警報器は、ガス機器から水平距離で８ｍ以内の同一の室内に設置しなければならない。,業務用換気警報器は、人体に一酸化炭素の悪影響が及ぶおそれのある環境に達した場合にのみ警報を発するという警報ロジックを採用している。,,,,,ガスソフトコードをコンセント口のガス栓に接続するためには、ガス栓用プラグを用いる。
燃焼時の諸現象及びガスとガス機器の適応に関する次の記述のうち、誤っているものはどれか。,可燃性混合ガスは、温度が一定であれば、圧力が上昇すると燃焼範囲は広くなる。,サーマルNOxの生成量は、燃焼ガス温度の高い、空気比1付近で最大となり、滞留時間が長いほど多く生成する。,"不完全燃焼の原因には、空気との接触や混合が不十分、排気の排出不良等がある。
",ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。,ガスの燃焼速度指数（MCP）が小さくなり、ガス機器の互換域を外れた場合、リフティングが発生する。,,,,,ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。
"""赤火燃焼式に関する次の記述のうち、（イ）~（ハ）にあてはまる語句の組合せとして最も適切なものはどれか。

　　赤火燃燒式　　空気割合（一次空気）　0%　　空気割合（二次空気）　100%　
　　炎の色　（イ）　　炎の長さ　（ロ）　　炎の温度（°C）　（ハ）""",（イ）　赤　（ロ）　長い　（ハ）　約1300,（イ）　赤　（ロ）　短い　（ハ）　約1300,（イ）　赤黄　（ロ）　長い　（ハ）　約1300,（イ）　赤黄　（ロ）　短い　（ハ）　約900,（イ）　赤黄　（ロ）　長い　（ハ）　約900,,,,,（イ）　赤黄　（ロ）　長い　（ハ）　約900
"家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。

*省エネ法とは、「エネルギーの使用の合理化等に関する法律」をいう。 ",ガスこんろの熱効率は、省エネ法*に基づくトップランナー基準の導入以降、炎の広がりを抑える、鍋底との距離を近づける等の改良により向上した。,ガスオーブンは、熱風をファンによって強制的に撹拌しているため、調理時間が早く、一度に多量の調理ができる。,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。,ファンヒーターでは、設定温度とセンサーで検知した室温との温度差分を電気量に変換することで比例弁を駆動させ、ガス量に比例して対流ファン風量を制御する。,回転ドラム式衣類乾燥機には、接触した衣類の抵抗値を測定して、湿り具合を判断する乾燥センサーが搭載されている。,,,,,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,10号の瞬間湯沸器は、水温20℃の水を45℃へ上昇させたお湯を毎分10L出せる能力を有している。,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。,給湯負荷に応じて最適な燃焼になるように、ガス量と空気量を制御することを空燃比制御 という。,浴室暖房乾燥機の主要4機能とは、暖房、乾燥、涼風及び換気である。,ふろ給湯器の設置方式には、設置フリー形があり、ポンプの揚程により設置位置を選択できる。,,,,,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。
