問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""都市ガスの原料及びその取り扱いに関す次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　メタンは常温では空気の約半分の重さであり拡散しやすいが、-82℃以下の低温では、空気より重いので注意を要する。

ロ　濃縮とは、貯蔵中のLNGにおいて外部からの入熱により沸点お低いメタンを主成分とするボイルオフガス（BOG)が発生することにより生じる現象である。

ハ　LNGを取り扱う配管等をクールダウンが生じないよう、時間をかける必要がある。

二　ガスが漏えいして発生した火災の場合は、ガスが漏えいした状態であっても早期に消火するほうが安全である。

ホ　LNGを取り扱う機器に対しては、低温靭性に優れた材料を用いる必要がある。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,イ、二
"""製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　回転式スクリュー型圧縮機は、圧力が変化すると、ガス流量も変動する。

ロ　仕切弁（ゲート弁）は、開閉時のストロークが小さく、開閉時期が短い。

ハ　うず巻ポンプは、他の型式に比較して軽量、構造が簡単で取り扱いが容易であるため、ガス製造所では多く採用されている。

二　円筒形LPG貯槽は、加圧式貯蔵法に分類され、比較的小容量の貯槽として最も経済的であるため広く使用されている。

ホ　エアフィン式気化器は、運転費が低廉でベースロード用として使用されるが、長時間運転すると空気中の水分が伝熱管の表面に氷となって付着し、連続運転時間に制約が生ずる。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""製造設備の電気設備及び計装設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　PID制御におけるD動作とは、P動作により生じた偏差を時間的に積分してこの値がゼロのなるよう修正するものである。

ロ　カスケード制御とは、あるプロセス量とそれ以外のプロセス量を、ある一定の比率に保つように制御する方式をいう。

ハ　安全増防爆構造とは、電気機械器具を構成する部分に発生する火花、アーク又は熱が、ガス又は蒸気に点火するおそれがないことが点火試験等により確認された構造のことである。

二　電気使用場所における使用電圧が低圧の電路の電線相互間及び電路と大地の間の絶縁抵抗は、３００Vを超える場合に０.４MΩ以上でなければならない。

ホ　電気事業法における事業用電気工作物に該当する電気設備を設置する者は、電気事業法に基づく保安規程の作成、電気主任技術者の選任などを行い、製造所における自主保安体制を確立しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,二、ホ
"""都市ガスの熱量調整、燃焼性管理及び熱量測定に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　燃焼速度は、ガス組成、空気比等の条件により変化する値であり、どのガスでも組成に応じて、ある空気比のときに最大となる。この値を最大燃焼速度（MCP)という。

ロ　ウォッベ指数（WI)は、ガス機器ノズルの開度調整に必要な指数であり、ガスの総発熱量に比例、比重の平方根に反比例する。

ハ　ガスクロマトグラフの水素炎イオン化検出器（FID)は、水素炎中においてカラムで分離された有機化合物成分が燃焼するときに電極間に発生する電圧を検出する。

二　ガスクロマトグラフでは、クロマトグラムのそれぞれのピークの面積を、同一条件下で得られる混合標準ガス又は純ガスのピークの面積と比較し、各成分を定量する。

ホ　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI=MCP図で、混合ガスの燃焼性の範囲を確認する。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""下記は、都市ガスの付臭方式の特徴をまとめたものである。（イ）～（ハ）に当てはまる語句の組合せとして最も適切なものはどれか。

付臭方式　　　　　　　　（イ）　　（ロ）　　（ハ）

適正な処理能力　　　　　　小　　　小～中　　中～大

混合付臭剤使用の適否　　 不適※　　   適　　　　適

建設費　　　　　　　　　　小　　　　中　　　　大

設置面積　　　　　　　　　中　　　　中　　　　大

　　　　　　　　　　　　※沸点が近い臭物質を混合した付臭剤はこの限りではない。""",（イ）滴下注入式　（ロ）蒸発式　（ハ）ポンプ注入式,（イ）滴下注入式　（ロ）ポンプ注入式　（ハ）蒸発式,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式,（イ）蒸発式　（ロ）ポンプ注入式　（ハ）滴下注入式,（イ）ポンプ注入式　（ロ）滴下注入式　（ハ）蒸発式,,,,,（イ）蒸発式　（ロ）滴下注入式　（ハ）ポンプ注入式
"""製造設備の保安及び防災に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　電気設備を可燃性ガスの通ずる設備の付近に設置する場合は、その設置場所の状況及び当該可燃性ガスの種類に応じた防爆性能を有するものでなければならない。

ロ　ガス主任技術者は、原則として、保安統括者、保安管理者（保安管理者を置かない製造所等にあっては、保安主任者）又は保安係員に選ばれた者から選任される。

ハ、製造設備の運転及び監視に係る制御システムには、サイバー攻撃等からのリスクを判断した上で、適切なセキュリティ対策を講ずる。

二　停電等によりBOG圧縮機の停止時間が長くなると、LNG貯槽の内部圧力が上昇するので、内部圧力監視を強化し、必要に応じて放散処理設備による降圧の準備を行う。

ホ　台風接近時は、徐々に気圧が低下するため、事前にLNG貯槽の圧力を上げておく。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ロ、ホ
"""製造設備の建設及び総業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　レベル１地震動に対する耐震性能評価では、構造物の塑性変形能力を期待した設計法により、耐震上重要な部位に生ずる応答塑性率を超えないことを確認する。

ロ　LNGは貯蔵中に外部からの入熱によりBOGが常に発生するため、貯槽内のLNGの濃縮が進むが、その度合いは貯槽レベルにより異なる。

ハ　LNG受入れ時には大量のBOGが発生し、BOG圧縮機の負荷を上げるため、電力デマンドの管理が必要となる。

二　LNGサテライト基地における熱量管理は、出荷元のLNG熱量に依存しており、貯槽の保有数も限定されるため、貯槽内濃縮の管理が重要である。

ホ　ガス事業法の定めにより、製造所では熱量等についてｈ毎日１回以上、臭気濃度については毎月１回以上、供給ガスに特殊成分が含まれる場合はその特殊成分を毎月１回以上、それぞれ定められた方法で測定し、記録を残さなければならない。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ポンプ、圧縮機等の軸封部シールに用いられるメカニカルシールの漏れは、シートリングの摩耗の偏りによるものが多く、その場合にはシートリングの端面を加工する必要がある。

ロ　腐食性流体により金属表面にエロ―ジョンコロージョンが発生する場合、同じ液体による腐食と摩耗が単独に働いたときの作用の和よりも大きな損耗を与える。

ハ　溶接部分は、母材、熱影響部、溶接金属で硬度が変化し、その硬度が高い部分に集中して繰り返しひずみを受けることとなり疲労強度の低下につながる。

二　超音波厚み計は、送信用振動子から発せられた超音波を板の裏面で反射し、その波を受信用振動子が受け、送信から受信までの時間を板厚に換算するものである。

ホ　放射線透過試験（RT)は、欠陥の形状をフィルム上に投影された像として見ることができるが、欠陥形状の直観性に欠ける検査方法である。""",イ、ハ,イ、二,ロ、二,ロ、ホ,ハ、ホ,,,,,ハ、ホ
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　排ガス再循環とは、燃焼排ガスの一部を燃焼用空気に混入して炉内に送り込み、CO2の発生の減少を図るものである。

ロ　すべての水域において、水素イオン濃度指数（pH）は常に規制される項目の一つであり、多くの水中生物、農作物にとって望ましい水のpHは、５.８～８.６である。

ハ　メタンを主成分とする天然ガスは、石炭や石油に比べ、分子中の炭素原子の割合が大きいため、燃焼時のCO２排出量が最も少ない化石燃料である。

二　カーボンニュートラルとは、温室効果ガスの排出量と吸収量を均衡させることを意味する。

ホ　e-methane（イーメタン）とは、グリーン水素等の非化石エネルギー源を原料として製造された合成メタンのことをいう。""",イ、ハ,イ、ホ,ロ、ハ,ロ、二,二、ホ,,,,,イ、ハ
"""都市ガスの原料に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）メタンは、すべての温度領域において、常温の空気よりも軽い。

（ロ）液撃は、弁の閉鎖やポンプの急停止等の急激な変化によって、配管内流体の運動エネルギの一部が圧力エネルギーに変換され、流体の圧力が低下することにより起こる。

（ハ）LNGは、貯蔵中に外部からの入熱により沸点の低いメタンを主成分とするボイルオフガス（BOG）が発生するため、被密度が高くなる。

（二）LNGローリーやLNGコンテナは、真空断熱方式の二重殻式横置円筒型の超低温容器を有し、道路輸送や鉄道輸送が可能である。

（ホ）LNGは水と反応して氷に似た水和物を生成するため、配管の閉そく等のトラブルを起こさないよう、LNGを取り扱う前に機器内を十分乾燥することが必要である。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,イ、ロ
