Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column13
問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
「消費機器調査員資格認定業務規則」において、ガス事業者※は消費機器調査について「消費機器調査員」の（  1　）を有するものを従事させると規定されている。※ここでいうガス事業者とは、「ガス小売事業者」又は「一般ガス導管事業者」のいずれかをいう。,3年,技能,トレーナー,5年,資格,資格,,,,資格
 消費機器調査員資格は（  2　）に１回の更新制度であり、更新対象者は各ガス事業者で実施する資格更新教育を受講し、更新申請を行う必要がある。,3年,技能,トレーナー,5年,資格,3年,,,,3年
資産区分の正しい組み合わせを解答群から選択しなさい。,本支・供給管：ガス事業者、内管：ガス事業者、ガスメーター：ガス事業者、ガス栓：ガス事業者、消費機器：ガス事業者,本支・供給管：ガス事業者、内管：お客さま、ガスメーター：ガス事業者、ガス栓：お客さま、消費機器：お客さま,本支・供給管：ガス事業者、内管：ガス事業者、ガスメーター：お客さま、ガス栓：ガス事業者、消費機器：お客さま,本支・供給管：ガス事業者、内管：ガス事業者、ガスメーター：ガス事業者、ガス栓：ガス事業者、消費機器：お客さま,本支・供給管：ガス事業者、内管：ガス事業者、ガスメーター：ガス事業者、ガス栓：ガス事業者、消費機器：お客さま,本支・供給管：ガス事業者、内管：お客さま、ガスメーター：お客さま、ガス栓：お客さま、消費機器：お客さま,,,,本支・供給管：ガス事業者、内管：お客さま、ガスメーター：ガス事業者、ガス栓：お客さま、消費機器：お客さま
ガスが燃焼するときのガスと空気の（  4　）の範囲を燃焼範囲という。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,混合割合
ガスが燃焼するときのガスと空気の混合割合の範囲を（  5　）という。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,燃焼範囲
ガスの燃焼に必要な（  6  ）は、一般的に空気中に含まれているものを使用する。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,酸素
ガスの燃焼に必要な酸素は、一般的に（  7　）中に含まれているものを使用する。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,空気
ガスを完全燃焼させるには、（  8　）％の余剰空気が必要である。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,20～40
ガスを完全燃焼させるには、２０から４０％の（  9　）が必要である。,空気,酸素,水素,過剰空気,0～10,混合割合,活動限界,燃焼範囲,20～40,過剰空気
ガス機器の分類には、（  10　）と給排気方式による分類がある。,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,使用用途
ガス機器の分類には、使用用途と（  11　）による分類がある。,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,給排気方式
テーブルコンロ、コンビネーションレンジ、ガス炊飯器は（ 12 ）機器,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,調理用
ガスファンヒーター、ガスストーブは（ 13 ）機器,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,暖房用
ガスふろがま、ガス瞬間湯沸器、ふろ給湯器は（ 14 ）機器,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,温水
家庭用ガスコージェネレーションシステムは（ 15）,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,エネファーム
中華レンジ、茹でめん機、オーブン、フライヤーは（ 16 ）機器,商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,業務用
